호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
2,검바위역,EL,3,2170-609,지상2층↔지상3층,"(1F) 아시아드경기장역 방향 승강장 중앙부 앞,(2F) 에스컬레이터 5, 6호기 옆",,
2,아시아드경기장역,EL,1,2170-557,지하1층↔지하2층,"(B1) 표 내는 곳 옆,(B3) 검바위역 방향 승강장 중앙부 앞",,
2,아시아드경기장역,EL,2,2170-558,지하1층↔지하2층,"(B1) 고객안내센터 옆,(B3) 서구청역 방향 승강장 중앙부 앞",,
2,아시아드경기장역,EL,3,2170-559,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆",,
2,아시아드경기장역,EL,4,2170-560,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆",,
2,서구청역,EL,1,2170-561,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 에스컬레이터 1, 2호기 옆,(B3) 아시아드경기장역 방향 승강장 중앙부 앞",,
2,서구청역,EL,2,2170-562,지하1층↔지하3층,"(B1) 임대상가 측 통로 끝,(B2) 에스컬레이터 3, 4호기 옆,(B3) 가정역 방향 승강장 중앙부 앞",,
2,서구청역,EL,3,2170-563,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆",,
2,서구청역,EL,4,2170-564,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆",,
2,가정(루원시티)역,EL,1,2159-558,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,2,2159-557,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 2-3 출입문 앞,(B1) 3번 출입구 대합실",,
2,가정(루원시티)역,EL,3,2159-560,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,4,2159-559,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 2-3 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,5,2154-506,지상층↔지하1층,"(B1) 4번 출입구 대합실,(1F) 4번 출입구 인근",,
2,가정(루원시티)역,EL,6,2154-505,지상층↔지하1층,"(B1) 3번 출입구 대합실,(1F) 3번 출입구 인근",,
2,가정중앙시장역,EL,1,2154-516,지하1층↔지하2층,"(B2) 가정역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,가정중앙시장역,EL,2,2154-517,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,가정중앙시장역,EL,3,2154-520,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,가정중앙시장역,EL,4,2154-518,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,가정중앙시장역,EL,5,2154-519,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,석남(거북시장)역,EL,1,2170-774,지하1층↔지하2층,"(B2) 가정중앙시장역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,석남(거북시장)역,EL,2,2170-775,지하1층↔지하2층,"(B2) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,석남(거북시장)역,EL,3,2170-776,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,석남(거북시장)역,EL,4,2170-777,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,석남(거북시장)역,EL,5,2170-779,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,석남(거북시장)역,EL,6,2170-778,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,서부여성회관역,EL,1,2170-780,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,서부여성회관역,EL,2,2170-281,지하1층↔지하2층,"(B2) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,서부여성회관역,EL,3,2170-782,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,서부여성회관역,EL,4,2170-783,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,서부여성회관역,EL,5,2170-785,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,서부여성회관역,EL,6,2170-784,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,인천가좌역,EL,1,2170-851,지하1층↔지하3층,"(B3) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,인천가좌역,EL,2,2170-852,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,인천가좌역,EL,3,2170-847,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,인천가좌역,EL,4,2170-848,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,인천가좌역,EL,5,2170-849,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,인천가좌역,EL,6,2170-850,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,가재울역,EL,1,2161-408,지하1층↔지하3층,"(B3) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,가재울역,EL,2,2161-409,지하1층↔지하3층,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,가재울역,EL,3,2161-410,지상층↔지하1층,"(B1) 대합실 1,2번 출입구 방향,(1F) 1번/2번 출입구 사이 엘리베이터",,
2,주안국가산단역,EL,1,2170-600,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,주안국가산단역,EL,2,2170-601,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,주안국가산단역,EL,3,2170-603,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 근처",,
2,주안국가산단역,EL,4,2170-602,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 근처",,
2,주안역,EL,1,2170-611,지하1층↔지하2층 ,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B2) 대합실 상선 방향",,
2,주안역,EL,2,2170-610,지하1층↔지하3층 ,"(B3) 시민공원역 방향 승강장 1-3 출입문 앞,(B1) 대합실 코레일 방향",,
2,주안역,EL,3,2170-792,지상층↔지하1층,"(B1) 대합실 6번 출입구 방향,(1F) 6번 출입구 근처",,
2,주안역,EL,4,2170-791,지상층↔지하1층,"(B1) 대합실 5번 출입구 방향,(1F) 5번 출입구 근처",,
2,주안역,EL,5,2170-613,환승층↔지하1층,"(B1) 대합실 코레일 상선 방향,(1F) 코레일 승강장 상선",,
2,주안역,EL,6,2170-612,환승층↔지하1층,"(B1) 대합실 코레일 하선 방향,(1F) 코레일 승강장 하선",,
2,시민공원역,EL,1,2154-529,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞",,
2,시민공원역,EL,2,2154-530,지하1층↔지하3층,"(B3) 석바위시장역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞",,
2,시민공원역,EL,3,2154-527,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처",,
2,시민공원역,EL,4,2154-528,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처",,
2,시민공원역,EL,5,2161-496,지하상가↔지하1층,"(B1) 화장실 옆,(M1) 화장실 옆",,
2,석바위시장역,EL,1,2170-772,지하1층↔지하3층,"(B3) 시민공원역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞",,
2,석바위시장역,EL,2,2170-771,지하1층↔지하3층,"(B3) 인천시청역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞",,
2,석바위시장역,EL,3,2170-769,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처",,
2,석바위시장역,EL,4,2170-770,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처",,
2,인천시청역,EL,1,2161-460,지하1층↔지하2층 ,"(B2) 석바위시장역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 1,2호기 옆",,
2,인천시청역,EL,2,2161-491,지하1층↔지하2층 ,"(B2) 석천사거리역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 3,4호기 옆",,
2,인천시청역,EL,3,2161-489,지하3층↔지하4층 ,"(B4)간석오거리역 방향 승강장 8-4 출입문 뒤, (B3) 에스컬레이터 5호기 옆",,
2,인천시청역,EL,4,2161-490,지하3층↔지하4층 ,"(B4)예술회관역 방향 승강장 1-1 출입문 앞, (B3) 에스컬레이터 6호기 옆",,
2,인천시청역,EL,5,2161-487,지하2층↔지하3층 ,"(B3) 에스컬레이터 5호기 옆,(B2) 석바위시장역 방향 승강장 2-3 출입문 방향",,
2,인천시청역,EL,6,2161-488,지하2층↔지하3층 ,"(B3) 임대상가 옆,(B2) 석천사거리역 방향 승강장 1-1 출입문 방향",,
2,인천시청역,EL,7,2161-458,지상층↔지하1층,"(B1) 에스컬레이터 9,10호기 앞,(1F) 8번 출입구 근처",,
2,인천시청역,EL,8,2161-459,지상층↔지하1층,"(B1) 에스컬레이터 11,12호기 앞,(1F) 7번 출입구 근처",,
2,석천사거리역,EL,1,2161-495,지하1층↔지하2층 ,"(B2) 인천시청역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 1,2호기 옆",,
2,석천사거리역,EL,2,2161-494,지하1층↔지하2층 ,"(B2) 모래내시장역 방향 승강장 1-3 출입문 앞 ,(B1) 에스컬레이터 3,4호기 옆",,
2,석천사거리역,EL,3,2161-493,지상층↔지하1층,"(B1) 에스컬레이터 5,6호기 옆 ,(1F) 1번 출입구 근처",,
2,석천사거리역,EL,4,2161-492,지상층↔지하1층,"(B1) 에스컬레이터 8,9호기 옆 ,(1F) 2번 출입구 근처",,
2,모래내시장역,EL,1,2170-598,지하2층↔지하3층 ,"(B3) 석천사거리역 방향 승강장 1-3 출입문 앞 ,(B2)에스컬레이터 1,2호기 옆",,
2,모래내시장역,EL,2,2170-597,지하2층↔지하3층 ,"(B3) 만수역 방향 승강장 1-3 출입문 앞 ,(B2)에스컬레이터 3,4호기 옆",,
2,모래내시장역,EL,3,2170-596,지상층↔지하2층,"(B2) 고객안내센터 옆,(1F) 2번 출입구 근처",,
2,모래내시장역,EL,4,2170-595,지상층↔지하2층,"(B2) 고객안내센터 옆,(1F) 3번 출입구 근처",,
2,만수역,EL,1,2170-587,지하1층↔지하2층,"(B2) 모래내시장역 방향 승강장 1-3 출입문 앞,(B1) 에스컬레이터 1,2호기 옆",,
2,만수역,EL,2,2170-588,지하1층↔지하2층,"(B2) 남동구청역 방향 승강장 1-3 출입문 앞,(B1) 에스컬레이터 3,4호기 옆",,
2,만수역,EL,3,2170-618,지상층↔지하1층,"(B1) 에스컬레이터 5,6호기 뒤,(1F) 1번 출입구 근처",,
2,만수역,EL,4,2170-617,지상층↔지하1층,"(B1) 에스컬레이터 7,8호기 뒤,(1F) 4번 출입구 근처",,
2,남동구청역,EL,1,2169-962,지하1층↔지하2층,"(B2) 만수역 방향 승강장 1-3 출입문 앞,(1F) 에스컬레이터 1,2호기 옆",,
2,남동구청역,EL,2,2169-961,지하1층↔지하2층,"(B2) 인천대공원역 방향 승강장 1-3 출입문 앞,(1F) 에스컬레이터 3,4호기 옆",,
2,남동구청역,EL,3,2170-616,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처",,
2,남동구청역,EL,4,2170-615,지상층↔지하1층,"(B1) 에스컬레이터 7,8호기 앞, ,(1F) 3번 출입구 근처",,
2,인천대공원역,EL,1,2160-700,지상1층↔지하2층,"(1F) 2번출입구 근처,,(2F) 에스컬레이터 1,2호기 근처",,
2,인천대공원역,EL,2,2160-697,지상1층↔지상2층,"(1F) 1번 출입구 근처,(2F) 역사 출입문 앞",,
2,인천대공원역,EL,3,2160-698,지상2층↔지상3층,"(2F) 고객안내센터 옆 ,(3F) 에스컬레이터 3,4호기 앞",,
2,인천대공원역,EL,4,2160-699,지상2층↔지상3층,"(2F) 화장실 뒤 ,(3F) 에스컬레이터 5,6호기 앞",,
2,운연(서창)역,EL,1,2161-406,지상층↔지하1층,"(B1) 인천대공원역 방향 승강장 1-3 출입문 앞,(1F) 에스컬레이터 1,2호기 옆",,
2,운연(서창)역,EL,2,2161-405,지상층↔지하1층,"(B1) 종착역 승강장 1-3 출입문 앞,(1F) 에스컬레이터 3,4호기 옆",,
7,까치울역,EL,1,2060-279,B1-B2,"(B1) 화장실 옆, 2번출입구 방향,(B2) 온수방향 승강장 3-1 출입문 앞",,
7,까치울역,EL,2,2060-280,F1-B1,"(1F) 3번/4번 출입구 옆,(B1) 3번/4번 출입구 옆",,
7,부천종합운동장역,EL,1,2092-517,B1-B2,"(B1) 고객안전센터 앞 대합실,(B2) 까치울역 방향 승강장 5-3, 춘의역 방향 승강장 4-2 출입문 앞",,
7,부천종합운동장역,EL,2,2092-518,F1-B1,"(1F) 1번/2번 출입구 사이,(B1) 2번 출입구 방향 대합실",,
7,부천종합운동장역,EL,3,2092-519,F1-B1,"(1F) 4, 5번 출입구 사이,(B1) 4번 출입구 방향 대합실",,
7,부천종합운동장역,EL,4,2092-520,F2-BM1,직원용,,
7,춘의역,EL,1,2061-661,B1-B2,"(B2) 부천종합운동장역 방향 5-1, 신중동 방향 4-4,(B1) 고객안내센터 앞 대합실",,
7,춘의역,EL,2,2061-662,F1-B1,"(B1) 대합실 3번/4번 출입구 ,(1F) 3번/4번 출입구 사이",,
7,춘의역,EL,3,2061-663,F1-B1,"(B1) 대합실 7번/8번 출입구 ,(1F) 3번/4번 출입구 사이",,
7,신중동역,EL,1,2078-781,B1-B2,"(B2) 춘의역 방향 승강장 4-1, 부천시청역 방향 승강장 5-3의 사이의 중앙,(B1) 표 내는 곳 내 대합실 중앙",,
7,신중동역,EL,2,2078-782,F1-B1,"(B1) 대합실 1번/2번 출입구 ,(1F) 1번/2번 출입구 사이",,
7,신중동역,EL,3,2078-783,F1-B1,"(B1) 대합실 7번 출입구 ,(1F) 7번 출입구 사이",,
7,신중동역,EL,4,2061-660,F1-B1,"(B1) 대합실 3번 출입구 ,(1F) 3번 출입구 인근",,
7,부천시청역,EL,1,2058-149,B1-B2,"(B2) 신중동역 방향 승강장 4-4 출입문 앞,(B1) 표 내는 곳 내 계단 옆(신중동 방향)",,
7,부천시청역,EL,2,2058-150,F1-B1,"(B1) 1번/2번 출입구 근처 대합실,(1F) 1번/2번 출입구 근처",,
7,부천시청역,EL,3,2058-151,F1-B1,"(B1) 4번/5번 출입구 근처 대합실,(1F) 4번/5번 출입구 근처",,
7,상동역,EL,1,2058-152,B1-B2,"(B2) 승강장 상선 4-4 출입문 앞,(B1) 대합실 표 내는 곳 근처",,
7,상동역,EL,2,2058-153,B1-B2,"(B2) 승강장 하선 5-1 출입문 앞,(B1) 대합실 표 내는 곳 근처",,
7,상동역,EL,3,2058-154,F1-B1,"(B1) 대합실 1번/2번 출입구 사이(GS편의점 옆),(1F) 1번/2번 출입구 사이",,
7,상동역,EL,4,2058-155,F1-B1,"(B1) 대합실 5번/6번 출입구 사이(상상정거장 옆),(1F) 5번/6번 출입구 사이",,
7,삼산체육관역,EL,1,2092-874,B1-B2,"(B2) 승강장 상선 4-2 출입문 앞,(B1) 대합실 표 내는 곳 근처",,
7,삼산체육관역,EL,2,2092-871,B1-B2,"(B2) 승강장 하선 5-3 출입문 앞,(B1) 대합실 표 내는 곳 근처",,
7,삼산체육관역,EL,3,2092-873,F1-B1,"(B1) 대합실 1번/2번 출입구 사이,(1F) 공원입구 근처",,
7,삼산체육관역,EL,4,2092-872,F1-B1,"(B1) 대합실 3번 출입구,(1F) 자전거보관구역 근처",,
7,굴포천역,EL,1,2092-823,B1-B2,"(B2) 삼산체육관역 방향 승강장 4-4 출입문 앞,(B1) 표 내는 곳 내 계단 옆(삼산체육관역 방향)",,
7,굴포천역,EL,2,2092-824,B1-B2,"(B2) 부평구청역 방향 승강장 5-1 출입문 앞,(B1) 표 내는 곳 내 계단 옆(부평구청역 방향)",,
7,굴포천역,EL,3,2092-822,F1-B1,"(B1) 3번/4번 출입구 근처 대합실,(1F) 3번 출입구 근처",,
7,굴포천역,EL,4,2092-825,F1-B1,"(B1) 5번/6번 출입구 근처 대합실,(1F) 5번/6번 출입구 근처",,
7,부평구청역,EL,1,2120-901,B1-B3,"(B3) 1호선(갈산역 방향)<->7호선(굴포천역 방향) 환승통로 앞쪽,(B2) 굴포천역 방향 4-1 출입문 앞",,
7,부평구청역,EL,2,2120-902,B1-B3,"(B3) 산곡역 방향 5-4 출입문 앞,(B1) 표 내는 곳 안쪽 남자화장실 옆 엘리베이터",,
7,부평구청역,EL,3,2120-903,B2-B3,"(B3) 굴포천역 방향 8-4 출입문 앞,(B2) 1호선(부평시장역 방향)<->7호선(굴포천역 방향) 환승통로 엘리베이터",,
7,부평구청역,EL,4,2120-904,B2-B3,"(B3) 산곡역 방향 1-1 출입문 앞,(B2) 1호선(부평시장역 방향)<->7호선(산곡역 방향) 환승통로 엘리베이터",,
7,부평구청역,EL,5,2120-905,B2-B2,"(B2) 1호선(갈산역 방향)<->7호선 환승통로 계단 옆 엘리베이터,(BM1) 1호선 갈산역 방향 후미부 계단 옆 엘리베이터",,
7,부평구청역,EL,6,2120-906,B2-B2,"(B2) 1호선(부평시장역 방향)<->7호선 환승통로 엘리베이터,(B1) 1호선 부평시장역 방향 방범셔터 앞 엘리베이터",,
7,부평구청역,EL,7,2120-907,F1-B1,"(B1) 4,5번 출입구 방향 대합실,(1F) 4,5번 출입구 사이 엘리베이터",,
7,부평구청역,EL,8,2120-908,F1-B1,"(B1) 3번 출입구 방향 계단 옆 엘리베이터,(1F) 3번 출입구 옆 엘리베이터",,
7,부평구청역,EL,9,2120-909,"F1-B4,(관리동)",직원용,,
7,산곡역,EL,1,2233-654,승강장↔대합실,"(B1) 7호선 부평구청역 방향 4-4 출입문 앞,(1F) 7호선 부평구청역 방향 대합실 중간 엘리베이터",,
7,산곡역,EL,2,2233-655,승강장↔대합실,"(B1) 7호선 석남역 방향 4-4 출입문 앞,(1F) 7호선 석남역 방향 대합실 중간 엘리베이터",,
7,산곡역,EL,3,2233-656,대합실↔지상,"(B1) 3번 출입구 방향 오른쪽 엘리베이터,(1F) 3번, 4번 출입구 사이 엘리베이터",,
7,산곡역,EL,4,2233-657,대합실↔지상,"(B1) 7번 출입구 방향 엘리베이터,(1F) 1번, 7번 출입구 사이 엘리베이터",,
7,석남역,EL,1,2240-778,승강장↔대합실,"(B5) 산곡역 방향 출입문 1-3 앞,(B4) 2호선<->7호선(산곡역 방향) 환승통로",,
7,석남역,EL,2,2240-779,승강장↔대합실,"(B5) 종착역 방향 출입문 8-4 앞,(B4) 2호선<->7호선(종점역 방향) 환승통로",,
7,석남역,EL,3,2240-776,승강장↔대합실,"(B5) 산곡역 방향 출입문 7-3 앞,(B4) 고객안내센터 옆 엘리베이터",,
7,석남역,EL,4,2240-777,승강장↔대합실,"(B5) 종착역 방향 출입문 2-2 앞,(B4) 고객안내센터 옆 엘리베이터",,
7,석남역,EL,5,2240-764,대합실↔지상,"(B4) 5번 출입구 방향 에스컬레이터 9,10호기 옆,(1F) 5번 출입구 뒷편 고가도로 옆 엘리베이터",,
7,석남역,EL,6,2240-765,대합실↔지상,"(B4) 6번 출입구 방향 에스컬레이터 11,12호기 옆,(1F) 6번 출입구 뒷편 고가도로 옆 엘리베이터",,
7,석남역,EL,8,2240-772,대합실↔대합실,"(B3) 2호선 서부여성회관역 방향 환승통로 안쪽 엘리베이터,(B1) 1번/4번/7번 출입구 방향 표 내는 곳 옆",,
7,석남역,EL,9,2240-773,승강장↔대합실,"(B3) 2호선 가정중앙시장역 방향 환승통로 안쪽 엘리베이터,(B2) 2호선<->7호선 환승통로",,
7,석남역,EL,10,2240-771,승강장↔대합실,"(B1) 4번/7번 출입구 오른방향 안쪽 엘리베이터,(1F) 7번 출입구 뒷편 고가도로 밑(2호선 8번 출입구 앞)",,
7,석남역,EL,11,2240-770,대합실↔지상,"(B1) 2번/3번 출입구 왼쪽 방향 엘리베이터,(1F) 2번 출입구 뒷편 고가도로 밑(2호선 3번 출입구 뒷편)",,
7,석남역,EL,7,2240-763,대합실↔지상,"(B4) 2호선<->7호선 환승통로,(B2) 2호선<->7호선 환승통로",,
1,검단호수공원역,ES,1,3816-260,지하1층↔지하2층,(B1) 종착역 승강장 3-4 출입문 앞,,
1,검단호수공원역,ES,2,3816-261,지하1층↔지하2층,(B1) 표 내는 곳 옆,,
1,검단호수공원역,ES,3,3816-262,지하1층↔지하2층,(B1) 수방자재창고 옆,,
1,검단호수공원역,ES,4,3816-263,지하1층↔지하2층,(B1) 엘리베이터 2호기 옆,,
1,검단호수공원역,ES,5,3816-264,지하1층↔지하2층,(B1) 신검단중앙역 방향 승강장 6-1 출입문 앞,,
1,검단호수공원역,ES,6,3816-265,지하1층↔지하2층,(B1) 인터폰 게이트 옆,,
1,검단호수공원역,ES,7,3816-275,대합실↔외부,(B1) 1번 출입구,,
